nr,wijk,kamers,badkamers,grond,bouwjaar,garage,c.v.,prijs
1,1,3,0,120,1920,0,0,132000
2,1,4,0,140,1932,0,0,137500
3,3,4,0,110,1938,0,1,138000
4,1,3,1,110,1927,0,0,139500
5,1,3,0,140,1968,0,1,142000
6,1,3,0,220,1935,0,0,144000
7,3,3,1,190,1938,0,0,145000
8,1,4,0,130,1950,0,0,145000
9,1,4,0,120,1964,0,1,146500
10,3,3,0,200,1966,0,1,148000
11,1,4,0,320,1932,0,0,149000
12,2,3,1,120,1972,0,1,154000
13,1,4,1,210,1953,0,1,158000
14,3,4,0,240,1936,0,0,159000
15,1,4,0,160,1962,0,0,160000
16,1,3,0,150,1966,0,1,162000
17,1,3,0,220,1937,0,0,163000
18,2,4,0,220,1980,0,1,164500
19,3,4,1,320,1962,0,1,165000
20,3,4,0,380,1918,0,0,168000
21,1,3,0,160,1985,1,1,169000
22,2,5,1,370,1948,1,0,169500
23,3,4,0,290,1985,0,1,170000
24,1,4,0,180,1966,0,1,174000
25,1,3,1,240,1957,0,1,175000
26,2,4,0,180,1984,0,1,175000
27,3,5,0,340,1936,1,0,176500
28,3,4,1,250,1987,0,1,177000
29,2,4,0,160,1986,0,1,178000
30,2,4,0,180,1981,0,1,178000
31,3,3,1,260,1957,0,1,182500
32,1,4,0,290,1932,1,0,184000
33,3,4,0,380,1972,0,1,185000
34,1,4,0,190,1972,1,1,186000
35,2,4,1,170,1978,0,1,187500
36,2,5,0,190,1982,0,1,187500
37,1,3,0,420,1920,1,0,189000
38,1,4,1,220,1988,0,1,189000
39,2,3,0,280,1976,0,1,195000
40,2,3,0,850,1934,1,0,197500
41,2,5,0,460,1952,0,1,198000
42,1,4,1,240,1982,0,1,212500
43,1,4,0,250,1983,0,1,215000
44,2,5,1,190,1984,0,1,219000
45,2,4,0,240,1982,1,1,219500
46,3,4,0,420,1956,0,1,225000
47,1,5,0,700,1926,0,0,228000
48,2,4,1,260,1985,0,1,229500
49,3,5,1,460,1972,1,1,230000
50,2,5,1,230,1987,0,1,232500
51,1,4,0,980,1920,0,0,235000
52,2,4,0,180,1976,0,1,239000
53,4,5,1,330,1975,0,1,247500
54,3,5,1,360,1974,1,1,247500
55,1,3,0,670,1985,0,1,252000
56,2,4,1,250,1988,0,1,259000
57,2,4,1,280,1988,1,1,262500
58,1,4,1,220,1977,1,1,265000
59,3,3,0,350,1965,0,1,265000
60,4,3,1,1020,1934,0,0,286000
61,2,5,1,320,1983,1,1,275000
62,2,4,1,280,1938,0,1,275000
63,3,5,0,240,1976,1,1,280000
64,1,5,1,510,1984,0,1,289000
65,2,4,1,270,1985,1,1,295000
66,3,4,1,340,1988,1,1,297500
67,4,6,1,420,1910,0,0,298000
68,3,5,1,510,1967,1,1,310000
69,2,5,0,320,1977,0,1,310000
70,2,6,1,340,1979,0,1,312500
71,3,5,1,310,1975,1,1,315000
72,2,5,1,240,1982,0,1,319000
73,2,6,0,1100,1918,1,0,325000
74,3,5,1,250,1947,0,1,345000
75,3,3,1,550,1980,0,1,345000
76,3,6,2,970,1924,1,1,349000
77,4,6,1,620,1956,1,1,358000
78,3,5,1,1430,1936,0,0,359500
79,2,6,1,420,1984,1,1,365000
80,2,7,2,310,1982,0,1,375000
81,1,5,1,340,1981,1,1,375000
82,3,6,1,1600,1930,1,0,389000
83,4,6,2,530,1936,0,1,390000
84,2,7,1,360,1985,1,1,395000
85,3,6,1,720,1937,1,1,420000
86,3,5,1,290,1982,1,1,425000
87,4,6,2,420,1978,0,1,447000
88,4,7,1,840,1936,1,1,465000
89,4,5,1,1090,1928,0,1,479000
90,2,6,1,380,1974,0,1,479000
91,3,6,1,390,1983,1,1,485000
92,4,7,1,2250,1915,1,0,487000
93,1,6,1,410,1969,1,1,495000
94,4,6,2,360,1984,1,1,498000
95,3,5,2,480,1987,1,1,499000
96,3,7,1,920,1934,0,1,515000
97,4,6,2,670,1972,1,1,545000
98,4,5,2,1540,1920,1,1,549000
99,3,5,1,810,1962,1,1,565000
100,4,6,2,1180,1925,1,1,568000
101,3,6,2,450,1983,0,1,575000
102,4,7,1,1250,1928,1,1,575000
103,4,6,1,620,1961,0,1,587500
104,3,5,1,1510,1938,1,1,595000
105,4,8,1,1480,1914,1,1,598000
106,4,7,2,630,1980,1,1,625000
107,3,5,2,490,1970,1,1,638000
108,4,8,1,1600,1928,0,1,645000
109,3,6,2,490,1981,1,1,650000
110,4,7,1,380,1978,1,1,669000
111,4,6,1,540,1982,1,1,685000
112,4,7,1,560,1958,1,1,689000
113,4,7,2,480,1974,1,1,695000
114,3,9,1,1800,1936,1,1,745000
115,3,9,1,1350,1912,1,1,785000
116,4,8,2,650,1978,1,1,840000
117,4,7,3,620,1985,1,1,925000
118,3,8,3,500,1988,1,1,990000
119,4,12,2,2250,1910,1,1,995000
120,4,9,3,1850,1986,1,1,1200000
